172.18.0.1 - - [30/Oct/2025:17:55:44 +0700] "GET /rpw HTTP/1.1" 302 -
172.18.0.1 - - [30/Oct/2025:17:55:45 +0700] "GET /rpw/ HTTP/1.1" 404 760
172.18.0.1 - - [30/Oct/2025:17:57:18 +0700] "GET /rpw/views/login.jsp HTTP/1.1" 200 1101
172.18.0.1 - - [30/Oct/2025:17:57:22 +0700] "GET /rpw/css/app.css HTTP/1.1" 404 775
172.18.0.1 - - [30/Oct/2025:17:57:22 +0700] "GET /favicon.ico HTTP/1.1" 404 683
172.18.0.1 - - [30/Oct/2025:17:58:24 +0700] "GET /rpw/views/login.jsp HTTP/1.1" 200 1101
172.18.0.1 - - [30/Oct/2025:17:58:24 +0700] "GET /rpw/css/app.css HTTP/1.1" 404 775
172.18.0.1 - - [30/Oct/2025:17:58:24 +0700] "GET /favicon.ico HTTP/1.1" 404 683
172.18.0.1 - - [30/Oct/2025:17:58:32 +0700] "POST /rpw/views/login.jsp HTTP/1.1" 302 -
172.18.0.1 - - [30/Oct/2025:17:58:32 +0700] "GET /rpw/views/home.jsp HTTP/1.1" 200 533
172.18.0.1 - - [30/Oct/2025:17:58:32 +0700] "GET /favicon.ico HTTP/1.1" 404 683
172.18.0.1 - - [30/Oct/2025:17:58:37 +0700] "GET /rpw/views/logout.jsp HTTP/1.1" 302 -
172.18.0.1 - - [30/Oct/2025:17:58:37 +0700] "GET /rpw/views/login.jsp HTTP/1.1" 200 1101
172.18.0.1 - - [30/Oct/2025:17:58:38 +0700] "GET /rpw/css/app.css HTTP/1.1" 404 775
172.18.0.1 - - [30/Oct/2025:17:58:38 +0700] "GET /favicon.ico HTTP/1.1" 404 683
